Car Name,Car Detail Link,Car Detail Link-href,Fuel Type,Current Color,Seat,Registration Date,Registration Type,Current Mileage,Spare Key,Service Book,Principal Warranty,Road Tax Exp Date,Car Location,Price
2017 Honda MOBILIO RS 1.5,Purchase Pending    Compare,https://www.carsome.id/en/buy-car/honda/mobilio/2017-honda-mobilio-rs-1.5/c2x2000,Petrol,Black,7,10/17/2022,Private,59.813 km,No,Yes,No,10/22/2022,"Carsome Kelapa Gading, Jakarta Utara","Rp
          180.000.000"
2016 Honda HR-V E 1.5,Purchase Pending    Compare,https://www.carsome.id/en/buy-car/honda/hr-v/2016-honda-hr-v-e-1.5/cvs3000,Petrol,White,5,5/16/2022,Private,80.308 km,Yes,No,No,5/22/2022,"Carsome Cibinong, Bogor","Rp
          219.000.000"
2019 Honda CR-V TC (CKD) 1.5,Purchase Pending    Compare,https://www.carsome.id/en/buy-car/honda/cr-v/2019-honda-cr-v-tc--ckd--1.5/cxa2000,Petrol,Black,7,8/19/2022,Company,34.420 km,Yes,No,No,9/22/2022,"Carsome Kelapa Gading, Jakarta Utara","Rp
          407.000.000"
2015 Honda ACCORD VTI-L 2.4,Purchase Pending    Compare,https://www.carsome.id/en/buy-car/honda/accord/2015-honda-accord-vti-l-2.4/cx02000,Petrol,Black,5,10/15/2022,Company,114.082 km,Yes,Yes,No,10/22/2022,"Carsome Pondok Indah, Jakarta Selatan","Rp
          269.000.000"
2015 Toyota YARIS S 1.5,Purchase Pending    Compare,https://www.carsome.id/en/buy-car/toyota/yaris/2015-toyota-yaris-s-1.5/csc4000,Petrol,Orange,5,7/15/2022,Private,45.154 km,Yes,No,No,7/22/2022,"Carsome Bekasi Siliwangi, Bekasi","Rp
          161.000.000"
2019 Honda BRIO E 1.2,Purchase Pending    Compare,https://www.carsome.id/en/buy-car/honda/brio/2019-honda-brio-e-1.2/ctg3000,Petrol,Black,5,9/19/2022,Private,47.595 km,Yes,No,No,10/22/2022,"Carsome Pondok Indah, Jakarta Selatan","Rp
          165.000.000"
2019 Mitsubishi PAJERO SPORT DAKAR 4X2 2.4,Purchase Pending    Compare,https://www.carsome.id/en/buy-car/mitsubishi/pajero-sport/2019-mitsubishi-pajero-sport-dakar-4x2-2.4/cfv1000,Diesel,Black,7,6/19/2022,Private,57.465 km,Yes,No,No,7/22/2022,"Carsome Puri Indah, Jakarta Barat","Rp
          499.000.000"
2019 Mitsubishi PAJERO SPORT DAKAR 4X2 2.4,Purchase Pending    Compare,https://www.carsome.id/en/buy-car/mitsubishi/pajero-sport/2019-mitsubishi-pajero-sport-dakar-4x2-2.4/cwa2000,Diesel,White,7,10/19/2022,Private,65.298 km,Yes,Yes,10/22/2022,10/22/2022,"Carsome Bogor, Bogor","Rp
          477.000.000"
2019 Honda BRIO SATYA E 1.2,Purchase Pending    Compare,https://www.carsome.id/en/buy-car/honda/brio/2019-honda-brio-satya-e-1.2/cr35000,Petrol,Red,5,4/19/2022,Private,26.822 km,Yes,Yes,No,5/23/2022,"Carsome Malang, Malang","Rp
          170.000.000"
2013 Honda FREED E 1.5,Purchase Pending    Compare,https://www.carsome.id/en/buy-car/honda/freed/2013-honda-freed-e-1.5/coo3000,Petrol,Gray,7,1/14/2022,Private,116.410 km,Yes,Yes,No,2/21/2022,"Carsome Pondok Indah, Jakarta Selatan","Rp
          175.000.000"
2017 Daihatsu AYLA X 1.0,Purchase Pending    Compare,https://www.carsome.id/en/buy-car/daihatsu/ayla/2017-daihatsu-ayla-x-1.0/c5l4000,Petrol,Black,5,5/17/2022,Private,83.481 km,No,No,No,5/23/2022,"Carsome Kelapa Gading, Jakarta Utara","Rp
          98.000.000"
2022 Mitsubishi XPANDER ULTIMATE 1.5,Purchase Pending    Compare,https://www.carsome.id/en/buy-car/mitsubishi/xpander/2022-mitsubishi-xpander-ultimate-1.5/c045000,Petrol,White,7,9/22/2022,Private,44 km,Yes,Yes,10/25/2022,10/23/2022,"Carsome Puri Indah, Jakarta Barat","Rp
          283.000.000"
2019 Toyota CALYA G 1.2,Purchase Pending    Compare,https://www.carsome.id/en/buy-car/toyota/calya/2019-toyota-calya-g-1.2/c932000,Petrol,Red,7,6/19/2022,Private,37.009 km,Yes,Yes,No,7/22/2022,"Carsome Depok, Depok","Rp
          139.000.000"
2015 Daihatsu AYLA X ELEGANT 1.0,Purchase Pending    Compare,https://www.carsome.id/en/buy-car/daihatsu/ayla/2015-daihatsu-ayla-x-elegant-1.0/cps1000,Petrol,Black,5,7/15/2022,Private,74.937 km,Yes,No,No,7/21/2022,"Carsome Kelapa Gading, Jakarta Utara","Rp
          100.000.000"
2020 Honda BR-V PRESTIGE 1.5,Purchase Pending    Compare,https://www.carsome.id/en/buy-car/honda/br-v/2020-honda-br-v-prestige-1.5/cz13000,Petrol,Black,7,8/20/2022,Private,17.280 km,Yes,Yes,8/23/2022,8/22/2022,"Carsome Kelapa Gading, Jakarta Utara","Rp
          253.000.000"
2019 Honda BRIO SATYA E 1.2,Purchase Pending    Compare,https://www.carsome.id/en/buy-car/honda/brio/2019-honda-brio-satya-e-1.2/cf04000,Petrol,White,5,1/20/2022,Private,9.495 km,Yes,Yes,1/23/2022,1/23/2022,"Carsome Malang, Malang","Rp
          171.000.000"
2016 Suzuki ERTIGA GX 1.4,Purchase Pending    Compare,https://www.carsome.id/en/buy-car/suzuki/ertiga/2016-suzuki-ertiga-gx-1.4/c1m4000,Petrol,White,7,12/16/2022,Private,57.836 km,Yes,Yes,No,1/23/2022,"Carsome Puri Indah, Jakarta Barat","Rp
          150.000.000"
2014 Daihatsu XENIA R SPORTY 1.3,Purchase Pending    Compare,https://www.carsome.id/en/buy-car/daihatsu/xenia/2014-daihatsu-xenia-r-sporty-1.3/cex4000,Petrol,Black,7,1/15/2022,Private,87.200 km,No,Yes,No,1/23/2022,"Carsome Tangerang Selatan, Tangerang Selatan","Rp
          135.000.000"
2017 Chevrolet TRAX TURBO LTZ 1.4,Purchase Pending    Compare,https://www.carsome.id/en/buy-car/chevrolet/trax/2017-chevrolet-trax-turbo-ltz-1.4/cb24000,Petrol,Red,5,7/17/2022,Private,82.274 km,Yes,Yes,No,8/22/2022,"Carsome Bandung, Bandung","Rp
          196.000.000"
2018 Wuling CORTEZ L LUX 1.8,Purchase Pending    Compare,https://www.carsome.id/en/buy-car/wuling/cortez/2018-wuling-cortez-l-lux-1.8/cem4000,Petrol,White,7,12/18/2022,Private,68.913 km,No,Yes,No,12/22/2022,"Carsome MT Haryono , Jakarta Timur","Rp
          190.000.000"
2012 Toyota ALPHARD G 2.4,Purchase Pending    Compare,https://www.carsome.id/en/buy-car/toyota/alphard/2012-toyota-alphard-g-2.4/ci84000,Petrol,Black,7,4/12/2022,Company,103.463 km,Yes,No,No,4/23/2022,"Carsome Puri Indah, Jakarta Barat","Rp
          375.000.000"
2019 Suzuki ERTIGA GX 1.5,Purchase Pending    Compare,https://www.carsome.id/en/buy-car/suzuki/ertiga/2019-suzuki-ertiga-gx-1.5/cz25000,Petrol,Gray,7,1/20/2022,Private,14.762 km,Yes,Yes,12/22/2022,1/23/2022,"Carsome Tangerang Serang, Tangerang Selatan","Rp
          187.000.000"
2016 Toyota CALYA G 1.2,Purchase Pending    Compare,https://www.carsome.id/en/buy-car/toyota/calya/2016-toyota-calya-g-1.2/c504000,Petrol,White,7,10/16/2022,Private,86.902 km,Yes,Yes,No,11/22/2022,"Carsome Bandung, Bandung","Rp
          117.000.000"
2013 Honda CITY E 1.5,Purchase Pending    Compare,https://www.carsome.id/en/buy-car/honda/city/2013-honda-city-e-1.5/czo4000,Petrol,White,5,9/13/2022,Private,106.964 km,Yes,No,No,9/22/2022,"Carsome Bekasi A.Yani, Bekasi","Rp
          146.000.000"
2016 Nissan MARCH  1.2,Purchase Pending    Compare,https://www.carsome.id/en/buy-car/nissan/march/2016-nissan-march--1.2/c7m2000,Petrol,Red,5,8/16/2022,Private,69.364 km,No,Yes,No,8/23/2022,"Carsome Bandung, Bandung","Rp
          131.000.000"
2019 Wuling CONFERO S 1.5,Purchase Pending    Compare,https://www.carsome.id/en/buy-car/wuling/confero/2019-wuling-confero-s-1.5/cv34000,Petrol,White,7,9/19/2022,Company,19.707 km,No,Yes,10/22/2022,9/22/2022,"Carsome Tangerang Serang, Tangerang Selatan","Rp
          141.000.000"
2014 Toyota YARIS TRD SPORTIVO 1.5,Purchase Pending    Compare,https://www.carsome.id/en/buy-car/toyota/yaris/2014-toyota-yaris-trd-sportivo-1.5/cqp4000,Petrol,White,5,10/14/2022,Private,29.589 km,Yes,Yes,No,11/22/2022,"Carsome Bandung, Bandung","Rp
          166.000.000"
2017 Daihatsu XENIA R SPORTY 1.3,Purchase Pending    Compare,https://www.carsome.id/en/buy-car/daihatsu/xenia/2017-daihatsu-xenia-r-sporty-1.3/cpc4000,Petrol,Silver,7,3/17/2022,Private,44.426 km,No,Yes,No,3/23/2022,"Carsome Tangerang Serang, Tangerang Selatan","Rp
          141.000.000"
2018 Honda BRIO E 1.2,Purchase Pending    Compare,https://www.carsome.id/en/buy-car/honda/brio/2018-honda-brio-e-1.2/cqg3000,Petrol,Gray,5,6/18/2022,Private,82.862 km,No,Yes,No,7/22/2022,"Carsome Pondok Indah, Jakarta Selatan","Rp
          151.000.000"
2016 Honda MOBILIO S 1.5,Purchase Pending    Compare,https://www.carsome.id/en/buy-car/honda/mobilio/2016-honda-mobilio-s-1.5/cxx1000,Petrol,White,7,6/16/2022,Company,94.544 km,No,Yes,No,7/22/2022,"Carsome Bandung, Bandung","Rp
          137.000.000"
2017 Toyota CALYA G 1.2,Purchase Pending    Compare,https://www.carsome.id/en/buy-car/toyota/calya/2017-toyota-calya-g-1.2/cwt4000,Petrol,Silver,7,8/17/2022,Private,27.950 km,Yes,Yes,No,9/22/2022,"Carsome Bekasi Siliwangi, Bekasi","Rp
          115.000.000"
2014 Toyota AVANZA VELOZ 1.5,Purchase Pending    Compare,https://www.carsome.id/en/buy-car/toyota/avanza/2014-toyota-avanza-veloz-1.5/c9c3000,Petrol,White,7,2/15/2022,Private,88.867 km,Yes,Yes,No,2/23/2022,"Carsome Bekasi A.Yani, Bekasi","Rp
          137.000.000"
2014 Toyota AGYA G 1.0,Purchase Pending    Compare,https://www.carsome.id/en/buy-car/toyota/agya/2014-toyota-agya-g-1.0/c6u4000,Petrol,Black,5,1/15/2022,Private,27.046 km,Yes,No,No,1/23/2022,"Carsome Bandung, Bandung","Rp
          99.000.000"
2015 Toyota KIJANG INNOVA G 2.0,Purchase Pending    Compare,https://www.carsome.id/en/buy-car/toyota/kijang-innova/2015-toyota-kijang-innova-g-2.0/cxl4000,Petrol,White,7,1/15/2022,Private,114.120 km,Yes,No,No,2/23/2022,"Carsome Depok, Depok","Rp
          206.000.000"
2019 Suzuki ERTIGA GL 1.5,Purchase Pending    Compare,https://www.carsome.id/en/buy-car/suzuki/ertiga/2019-suzuki-ertiga-gl-1.5/c1g4000,Petrol,Gray,7,10/19/2022,Private,23.958 km,No,No,No,11/22/2022,"Carsome Depok, Depok","Rp
          186.000.000"
2016 Daihatsu SIRION M602RS 1.3,Purchase Pending    Compare,https://www.carsome.id/en/buy-car/daihatsu/sirion/2016-daihatsu-sirion-m602rs-1.3/cnl4000,Petrol,White,5,5/16/2022,Private,55.359 km,Yes,Yes,No,6/23/2022,"Carsome Bogor, Bogor","Rp
          120.000.000"
2018 Suzuki BALENO HATCHBACK 1.4,Purchase Pending    Compare,https://www.carsome.id/en/buy-car/suzuki/baleno/2018-suzuki-baleno-hatchback-1.4/cp24000,Petrol,White,5,8/18/2022,Private,73.808 km,Yes,Yes,No,8/22/2022,"Carsome Bekasi A.Yani, Bekasi","Rp
          173.000.000"
2014 Honda CR-V 2WD 2.0,Purchase Pending    Compare,https://www.carsome.id/en/buy-car/honda/cr-v/2014-honda-cr-v-2wd-2.0/cpe4000,Petrol,White,5,1/15/2022,Private,82.899 km,Yes,Yes,No,1/23/2022,"Carsome Sawah Besar, Jakarta Pusat","Rp
          209.000.000"
2018 Toyota CALYA G 1.2,Purchase Pending    Compare,https://www.carsome.id/en/buy-car/toyota/calya/2018-toyota-calya-g-1.2/cwa4000,Petrol,Black,7,12/18/2022,Private,8.528 km,Yes,Yes,No,12/22/2022,"Carsome Pondok Indah, Jakarta Selatan","Rp
          119.000.000"
2018 Toyota ALPHARD G 2.5,Purchase Pending    Compare,https://www.carsome.id/en/buy-car/toyota/alphard/2018-toyota-alphard-g-2.5/c9c4000,Petrol,Gray,7,12/18/2022,Company,64.887 km,Yes,Yes,No,1/23/2022,"Carsome Puri Indah, Jakarta Barat","Rp
          989.000.000"
2015 Toyota RUSH S 1.5,Purchase Pending    Compare,https://www.carsome.id/en/buy-car/toyota/rush/2015-toyota-rush-s-1.5/cv44000,Petrol,White,7,3/15/2022,Private,111.064 km,Yes,Yes,No,3/23/2022,"Carsome Bekasi Siliwangi, Bekasi","Rp
          149.000.000"
2019 Toyota CALYA G 1.2,Purchase Pending    Compare,https://www.carsome.id/en/buy-car/toyota/calya/2019-toyota-calya-g-1.2/cwx4000,Petrol,Black,7,3/19/2022,Private,42.266 km,Yes,Yes,No,3/23/2022,"Carsome Bekasi A.Yani, Bekasi","Rp
          144.000.000"
2018 Suzuki ERTIGA GX 1.5,Purchase Pending    Compare,https://www.carsome.id/en/buy-car/suzuki/ertiga/2018-suzuki-ertiga-gx-1.5/c3v4000,Petrol,Gray,7,8/18/2022,Private,69.536 km,Yes,Yes,No,9/21/2022,"Carsome Tangerang Selatan, Tangerang Selatan","Rp
          188.000.000"
2014 Toyota YARIS G 1.5,Purchase Pending    Compare,https://www.carsome.id/en/buy-car/toyota/yaris/2014-toyota-yaris-g-1.5/cjs3000,Petrol,Gray,5,8/14/2022,Private,36.286 km,Yes,Yes,No,8/22/2022,"Carsome MT Haryono , Jakarta Timur","Rp
          145.000.000"
2016 Nissan GRAND LIVINA X-GEAR 1.5,Purchase Pending    Compare,https://www.carsome.id/en/buy-car/nissan/grand-livina/2016-nissan-grand-livina-x-gear-1.5/ccu4000,Petrol,White,7,6/16/2022,Private,52.362 km,Yes,Yes,No,4/23/2022,"Carsome Puri Indah, Jakarta Barat","Rp
          134.000.000"
2020 Mitsubishi XPANDER CROSS 1.5,Purchase Pending    Compare,https://www.carsome.id/en/buy-car/mitsubishi/xpander/2020-mitsubishi-xpander-cross-1.5/c3x4000,Petrol,Black,7,11/20/2022,Private,43.241 km,Yes,Yes,10/23/2022,11/22/2022,"Carsome Pondok Indah, Jakarta Selatan","Rp
          281.000.000"
2019 Toyota YARIS S TRD 1.5,Purchase Pending    Compare,https://www.carsome.id/en/buy-car/toyota/yaris/2019-toyota-yaris-s-trd-1.5/ckr4000,Petrol,White,5,2/19/2022,Private,41.054 km,Yes,Yes,No,2/23/2022,"Carsome Pondok Indah, Jakarta Selatan","Rp
          240.000.000"
2019 Nissan LIVINA VL 1.5,Purchase Pending    Compare,https://www.carsome.id/en/buy-car/nissan/livina/2019-nissan-livina-vl-1.5/cxa4000,Petrol,White,7,7/19/2022,Private,49.926 km,Yes,Yes,No,8/23/2022,"Carsome Pondok Indah, Jakarta Selatan","Rp
          217.000.000"
2014 Suzuki ERTIGA GX 1.4,Purchase Pending    Compare,https://www.carsome.id/en/buy-car/suzuki/ertiga/2014-suzuki-ertiga-gx-1.4/cfs3000,Petrol,White,7,3/14/2022,Private,43.389 km,Yes,Yes,No,3/23/2022,"Carsome Sawah Besar, Jakarta Pusat","Rp
          138.000.000"
2018 Suzuki IGNIS GX 1.2,Purchase Pending    Compare,https://www.carsome.id/en/buy-car/suzuki/ignis/2018-suzuki-ignis-gx-1.2/cge4000,Petrol,Red,5,8/18/2022,Private,69.938 km,Yes,Yes,No,8/23/2022,"Carsome MT Haryono , Jakarta Timur","Rp
          139.000.000"
2018 Toyota SIENTA Q 1.5,Purchase Pending    Compare,https://www.carsome.id/en/buy-car/toyota/sienta/2018-toyota-sienta-q-1.5/c344000,Petrol,White,7,5/18/2022,Private,78.173 km,Yes,Yes,No,5/23/2022,"Carsome Puri Indah, Jakarta Barat","Rp
          179.000.000"
2017 Toyota SIENTA V 1.5,Purchase Pending    Compare,https://www.carsome.id/en/buy-car/toyota/sienta/2017-toyota-sienta-v-1.5/cfx4000,Petrol,Brown,7,3/17/2022,Private,80.503 km,Yes,Yes,No,3/23/2022,"Carsome Kelapa Gading, Jakarta Utara","Rp
          176.000.000"
2014 Toyota YARIS S 1.5,Purchase Pending    Compare,https://www.carsome.id/en/buy-car/toyota/yaris/2014-toyota-yaris-s-1.5/c0n4000,Petrol,Silver,5,5/14/2022,Private,54.805 km,Yes,No,No,5/23/2022,"Carsome Bekasi Siliwangi, Bekasi","Rp
          156.000.000"
2016 Toyota KIJANG INNOVA V 2.0,Purchase Pending    Compare,https://www.carsome.id/en/buy-car/toyota/kijang-innova/2016-toyota-kijang-innova-v-2.0/c923000,Petrol,White,7,4/16/2022,Private,22.895 km,No,Yes,No,4/23/2022,"Carsome Depok, Depok","Rp
          282.000.000"
2014 Toyota COROLLA ALTIS V 1.8,Purchase Pending    Compare,https://www.carsome.id/en/buy-car/toyota/corolla-altis/2014-toyota-corolla-altis-v-1.8/che4000,Petrol,Black,5,12/14/2022,Private,84.110 km,Yes,Yes,No,12/22/2022,"Carsome Depok, Depok","Rp
          209.000.000"
2012 Toyota AVANZA G 1.3,Purchase Pending    Compare,https://www.carsome.id/en/buy-car/toyota/avanza/2012-toyota-avanza-g-1.3/cb83000,Petrol,Gray,7,7/12/2022,Company,130.716 km,No,Yes,No,7/22/2022,"Carsome Puri Indah, Jakarta Barat","Rp
          117.000.000"
2019 Toyota CALYA G 1.2,Purchase Pending    Compare,https://www.carsome.id/en/buy-car/toyota/calya/2019-toyota-calya-g-1.2/c1v4000,Petrol,Silver,7,6/19/2022,Private,44.371 km,Yes,No,No,7/22/2022,"Carsome Bekasi Siliwangi, Bekasi","Rp
          127.000.000"
2020 Daihatsu SIGRA R STD 1.2,Purchase Pending    Compare,https://www.carsome.id/en/buy-car/daihatsu/sigra/2020-daihatsu-sigra-r-std-1.2/cq05000,Petrol,Black,7,3/20/2022,Private,30.737 km,Yes,Yes,3/23/2022,4/23/2022,"Carsome Pondok Indah, Jakarta Selatan","Rp
          135.000.000"
2019 Mitsubishi XPANDER ULTIMATE 1.5,Purchase Pending    Compare,https://www.carsome.id/en/buy-car/mitsubishi/xpander/2019-mitsubishi-xpander-ultimate-1.5/cwy3000,Petrol,White,7,4/19/2022,Private,28.382 km,Yes,Yes,No,4/23/2022,"Carsome Puri Indah, Jakarta Barat","Rp
          231.000.000"
2014 Suzuki KARIMUN GA 1.0,Purchase Pending    Compare,https://www.carsome.id/en/buy-car/suzuki/karimun/2014-suzuki-karimun-ga-1.0/cy84000,Petrol,Gray,4,10/14/2022,Private,85.840 km,Yes,Yes,No,11/22/2022,"Carsome Cibinong, Bogor","Rp
          78.000.000"
2019 Wuling CORTEZ C T LUX 1.5,Purchase Pending    Compare,https://www.carsome.id/en/buy-car/wuling/cortez/2019-wuling-cortez-c-t-lux-1.5/cvg4000,Petrol,Gray,7,11/19/2022,Company,62.503 km,Yes,No,11/22/2022,11/22/2022,"Carsome Puri Indah, Jakarta Barat","Rp
          188.000.000"
2018 Suzuki IGNIS GX AGS 1.2,Purchase Pending    Compare,https://www.carsome.id/en/buy-car/suzuki/ignis/2018-suzuki-ignis-gx-ags-1.2/ces4000,Petrol,Blue,4,11/18/2022,Private,63.908 km,No,No,No,11/22/2022,"Carsome Sawah Besar, Jakarta Pusat","Rp
          139.000.000"
2017 Honda HR-V E PRESTIGE 1.8,Purchase Pending    Compare,https://www.carsome.id/en/buy-car/honda/hr-v/2017-honda-hr-v-e-prestige-1.8/cfo4000,Petrol,White,5,4/17/2022,Private,43.690 km,Yes,Yes,No,4/23/2022,"Carsome Depok, Depok","Rp
          260.000.000"
2020 Toyota CALYA G 1.2,Purchase Pending    Compare,https://www.carsome.id/en/buy-car/toyota/calya/2020-toyota-calya-g-1.2/cmk4000,Petrol,Silver,7,7/20/2022,Private,41.870 km,Yes,Yes,6/23/2022,7/23/2022,"Carsome MT Haryono , Jakarta Timur","Rp
          151.000.000"
2016 Toyota CALYA G 1.2,Purchase Pending    Compare,https://www.carsome.id/en/buy-car/toyota/calya/2016-toyota-calya-g-1.2/c9s3000,Petrol,Silver,7,9/16/2022,Private,37.437 km,Yes,Yes,No,11/22/2022,"Carsome Bogor, Bogor","Rp
          125.000.000"
2015 Daihatsu AYLA X 1.0,Purchase Pending    Compare,https://www.carsome.id/en/buy-car/daihatsu/ayla/2015-daihatsu-ayla-x-1.0/cjh4000,Petrol,Red,5,12/15/2022,Private,43.669 km,Yes,Yes,No,12/22/2022,"Carsome Bekasi Siliwangi, Bekasi","Rp
          87.000.000"
2021 Toyota AVANZA VELOZ GR LIMITED 1.5,Purchase Pending    Compare,https://www.carsome.id/en/buy-car/toyota/avanza/2021-toyota-avanza-veloz-gr-limited-1.5/ck05000,Petrol,Silver,7,10/21/2022,Private,16.985 km,Yes,Yes,10/24/2022,10/22/2022,"Carsome Pondok Indah, Jakarta Selatan","Rp
          233.000.000"
2015 Toyota YARIS TRD SPORTIVO 1.5,Purchase Pending    Compare,https://www.carsome.id/en/buy-car/toyota/yaris/2015-toyota-yaris-trd-sportivo-1.5/cco4000,Petrol,Orange,5,6/15/2022,Private,39.552 km,Yes,Yes,No,6/23/2022,"Carsome Bogor, Bogor","Rp
          184.000.000"
2019 Toyota RUSH G 1.5,Purchase Pending    Compare,https://www.carsome.id/en/buy-car/toyota/rush/2019-toyota-rush-g-1.5/cb34000,Petrol,Black,7,1/19/2022,Company,65.908 km,Yes,Yes,No,1/23/2022,"Carsome Tangerang Selatan, Tangerang Selatan","Rp
          208.000.000"
2017 Suzuki IGNIS GX AGS 1.2,Purchase Pending    Compare,https://www.carsome.id/en/buy-car/suzuki/ignis/2017-suzuki-ignis-gx-ags-1.2/clo4000,Petrol,Gray,5,10/17/2022,Private,64.796 km,Yes,Yes,No,11/22/2022,"Carsome Bogor, Bogor","Rp
          129.000.000"
2015 Suzuki ERTIGA GX 1.4,Purchase Pending    Compare,https://www.carsome.id/en/buy-car/suzuki/ertiga/2015-suzuki-ertiga-gx-1.4/czq4000,Petrol,White,7,9/15/2022,Private,90.591 km,Yes,Yes,No,9/22/2022,"Carsome Bogor, Bogor","Rp
          157.000.000"
2019 Daihatsu SIGRA R STD 1.2,Purchase Pending    Compare,https://www.carsome.id/en/buy-car/daihatsu/sigra/2019-daihatsu-sigra-r-std-1.2/cv42000,Petrol,Gray,7,8/19/2022,Private,37.878 km,Yes,Yes,9/22/2022,9/22/2022,"Carsome Depok, Depok","Rp
          127.000.000"
2018 Suzuki BALENO HATCHBACK 1.4,Purchase Pending    Compare,https://www.carsome.id/en/buy-car/suzuki/baleno/2018-suzuki-baleno-hatchback-1.4/cj15000,Petrol,Red,5,3/18/2022,Private,33.477 km,No,Yes,No,4/23/2022,"Carsome Bekasi A.Yani, Bekasi","Rp
          162.000.000"
2015 Honda CITY E 1.5,Purchase Pending    Compare,https://www.carsome.id/en/buy-car/honda/city/2015-honda-city-e-1.5/com4000,Petrol,White,5,8/15/2022,Company,63.943 km,No,No,No,9/22/2022,"Carsome Pondok Indah, Jakarta Selatan","Rp
          191.000.000"
2021 Toyota RAIZE GR TWO TONE 1.0,Purchase Pending    Compare,https://www.carsome.id/en/buy-car/toyota/raize/2021-toyota-raize-gr-two-tone-1.0/cgv3000,Petrol,White,5,8/21/2022,Private,5.530 km,Yes,Yes,9/24/2022,8/22/2022,"Carsome Puri Indah, Jakarta Barat","Rp
          247.000.000"
2018 Toyota RUSH G 1.5,Purchase Pending    Compare,https://www.carsome.id/en/buy-car/toyota/rush/2018-toyota-rush-g-1.5/cw05000,Petrol,Silver,7,6/18/2022,Private,47.207 km,Yes,Yes,No,6/23/2022,"Carsome Bekasi A.Yani, Bekasi","Rp
          218.000.000"
2017 Toyota AGYA G TRD 1.2,Purchase Pending    Compare,https://www.carsome.id/en/buy-car/toyota/agya/2017-toyota-agya-g-trd-1.2/cs14000,Petrol,White,5,5/17/2022,Private,85.629 km,Yes,Yes,No,6/23/2022,"Carsome Tangerang Serang, Tangerang Selatan","Rp
          119.000.000"
2017 Honda HR-V E PRESTIGE 1.8,Purchase Pending    Compare,https://www.carsome.id/en/buy-car/honda/hr-v/2017-honda-hr-v-e-prestige-1.8/c5n3000,Petrol,Gray,5,11/17/2022,Private,13.514 km,Yes,Yes,No,11/22/2022,"Carsome Bandung, Bandung","Rp
          261.000.000"
2019 Mitsubishi XPANDER ULTIMATE 1.5,Purchase Pending    Compare,https://www.carsome.id/en/buy-car/mitsubishi/xpander/2019-mitsubishi-xpander-ultimate-1.5/czz4000,Petrol,White,7,1/20/2022,Private,20.504 km,Yes,Yes,1/23/2022,1/23/2022,"Carsome Bekasi A.Yani, Bekasi","Rp
          238.000.000"
2019 Mitsubishi PAJERO SPORT DAKAR 4X2 2.4,Purchase Pending    Compare,https://www.carsome.id/en/buy-car/mitsubishi/pajero-sport/2019-mitsubishi-pajero-sport-dakar-4x2-2.4/c0v1000,Diesel,Black,7,12/19/2022,Private,23.149 km,Yes,Yes,No,12/22/2022,"Carsome MT Haryono , Jakarta Timur","Rp
          492.700.000"
2016 Mitsubishi PAJERO SPORT DAKAR 4X2 2.4,Purchase Pending    Compare,https://www.carsome.id/en/buy-car/mitsubishi/pajero-sport/2016-mitsubishi-pajero-sport-dakar-4x2-2.4/cd25000,Diesel,Silver,7,5/16/2022,Private,77.584 km,Yes,Yes,No,12/22/2022,"Carsome Malang, Malang","Rp
          414.000.000"
2018 Honda MOBILIO RS 1.5,Purchase Pending    Compare,https://www.carsome.id/en/buy-car/honda/mobilio/2018-honda-mobilio-rs-1.5/cxd3000,Petrol,White,7,12/18/2022,Private,62.876 km,Yes,Yes,No,12/22/2022,"Carsome Tangerang Serang, Tangerang Selatan","Rp
          203.000.000"
2015 Mazda 2 R SKYACTIV 1.5,Purchase Pending    Compare,https://www.carsome.id/en/buy-car/mazda/2/2015-mazda-2-r-skyactiv-1.5/c7f3000,Petrol,Red,5,9/15/2022,Private,54.320 km,Yes,Yes,No,9/22/2022,"Carsome Tangerang Serang, Tangerang Selatan","Rp
          187.000.000"
2019 Toyota CALYA G 1.2,Purchase Pending    Compare,https://www.carsome.id/en/buy-car/toyota/calya/2019-toyota-calya-g-1.2/cuf3000,Petrol,Gray,7,7/19/2022,Private,48.392 km,No,No,No,7/22/2022,"Carsome Puri Indah, Jakarta Barat","Rp
          135.000.000"
2019 Toyota AGYA G TRD 1.2,Purchase Pending    Compare,https://www.carsome.id/en/buy-car/toyota/agya/2019-toyota-agya-g-trd-1.2/cve4000,Petrol,Other,5,5/19/2022,Company,22.015 km,No,No,No,5/23/2022,"Carsome Cibinong, Bogor","Rp
          143.000.000"
2019 Toyota KIJANG INNOVA REBORN G 2.0,Purchase Pending    Compare,https://www.carsome.id/en/buy-car/toyota/kijang-innova/2019-toyota-kijang-innova-reborn-g-2.0/c2t2000,Petrol,Silver,7,5/19/2022,Private,53.676 km,Yes,Yes,No,5/23/2022,"Carsome Kelapa Gading, Jakarta Utara","Rp
          311.000.000"
2019 Mazda 6  2.5,Purchase Pending    Compare,https://www.carsome.id/en/buy-car/mazda/6/2019-mazda-6--2.5/cit4000,Petrol,Black,5,8/19/2022,Private,40.867 km,Yes,Yes,No,8/22/2022,"Carsome Pondok Indah, Jakarta Selatan","Rp
          550.000.000"
